OrderID,Product,Category,Sales,Quantity,City,OutletSize,Rating,FatContent,Month
1,Mango,Fruits,337,5,Lucknow,Medium,4.8,Low Fat,Sep
2,Paneer,Dairy,386,2,Chennai,Small,4.1,Low Fat,Jan
3,Coffee,Grocery,67,9,Hyderabad,Small,4.7,Low Fat,Oct
4,Carrot,Vegetables,902,2,Chennai,Small,4.6,Regular,May
5,Cheese,Dairy,601,9,Indore,Small,3.8,Low Fat,Jul
6,Milk,Dairy,550,5,Bangalore,Large,3.9,Regular,Jun
7,Salt,Grocery,440,3,Lucknow,Small,4.2,Low Fat,May
8,Onion,Vegetables,180,8,Chennai,Small,4.9,Regular,Sep
9,Biscuits,Bakery,336,8,Bhopal,Small,4.4,Low Fat,Aug
10,Oil,Grocery,499,7,Bhopal,Small,4.0,Regular,Oct
11,Eggs,Protein,632,5,Bangalore,Small,3.6,Regular,Apr
12,Coffee,Grocery,901,2,Chennai,Small,4.4,Low Fat,Aug
13,Paneer,Dairy,332,6,Lucknow,Small,5.0,Regular,Nov
14,Sugar,Grocery,587,2,Indore,Small,3.8,Low Fat,Aug
15,Tomato,Vegetables,252,4,Chennai,Large,4.8,Low Fat,Nov
16,Butter,Dairy,59,5,Lucknow,Medium,3.6,Low Fat,Sep
17,Cheese,Dairy,942,4,Lucknow,Large,4.5,Regular,Dec
18,Butter,Dairy,876,3,Lucknow,Small,4.1,Low Fat,Feb
19,Eggs,Protein,386,6,Indore,Large,3.5,Regular,Apr
20,Eggs,Protein,566,4,Indore,Medium,4.1,Low Fat,May
21,Sugar,Grocery,883,2,Delhi,Medium,4.3,Regular,Nov
22,Milk,Dairy,811,8,Bhopal,Small,4.0,Low Fat,Dec
23,Soap,Personal Care,990,1,Lucknow,Large,3.9,Low Fat,Dec
24,Milk,Dairy,178,9,Bangalore,Medium,5.0,Regular,Nov
25,Shampoo,Personal Care,416,10,Chennai,Large,4.4,Low Fat,Oct
26,Milk,Dairy,122,7,Jaipur,Large,4.5,Regular,Jul
27,Milk,Dairy,496,8,Indore,Medium,4.8,Low Fat,Mar
28,Rice,Grocery,615,4,Jaipur,Large,4.1,Regular,Aug
29,Salt,Grocery,917,6,Bhopal,Medium,4.8,Low Fat,Mar
30,Carrot,Vegetables,993,8,Jaipur,Medium,4.4,Low Fat,Nov
31,Eggs,Protein,528,6,Mumbai,Small,4.5,Low Fat,Jul
32,Oil,Grocery,714,4,Chennai,Medium,3.6,Low Fat,Jan
33,Bread,Bakery,713,1,Delhi,Medium,4.7,Regular,Aug
34,Curd,Dairy,129,8,Pune,Small,4.6,Regular,Mar
35,Eggs,Protein,82,5,Delhi,Small,4.8,Low Fat,Mar
36,Orange,Fruits,392,6,Hyderabad,Medium,4.1,Regular,Nov
37,Onion,Vegetables,749,10,Delhi,Large,3.5,Regular,Sep
38,Banana,Fruits,423,4,Pune,Large,3.5,Regular,Jun
39,Carrot,Vegetables,424,5,Hyderabad,Small,4.4,Low Fat,Sep
40,Eggs,Protein,743,9,Indore,Small,3.7,Regular,Dec
41,Butter,Dairy,457,4,Bangalore,Large,4.7,Low Fat,Sep
42,Soap,Personal Care,159,7,Bangalore,Small,4.0,Low Fat,Feb
43,Banana,Fruits,252,1,Indore,Medium,3.7,Regular,Jul
44,Sugar,Grocery,351,5,Bhopal,Large,3.7,Regular,Dec
45,Cheese,Dairy,425,10,Chennai,Large,4.6,Low Fat,Dec
46,Coffee,Grocery,421,6,Bangalore,Medium,4.1,Regular,Mar
47,Curd,Dairy,776,1,Delhi,Small,3.6,Regular,Dec
48,Potato,Vegetables,376,9,Bhopal,Medium,5.0,Regular,Nov
49,Rice,Grocery,596,10,Hyderabad,Small,4.4,Low Fat,Apr
50,Potato,Vegetables,54,2,Mumbai,Small,4.2,Low Fat,Oct
51,Carrot,Vegetables,916,4,Hyderabad,Large,4.0,Low Fat,Apr
52,Potato,Vegetables,648,5,Hyderabad,Small,4.8,Regular,Jul
53,Shampoo,Personal Care,511,10,Hyderabad,Large,3.9,Low Fat,Jun
54,Curd,Dairy,982,2,Jaipur,Small,4.2,Regular,Feb
55,Banana,Fruits,254,4,Lucknow,Small,4.8,Regular,Aug
56,Juice,Beverages,524,4,Mumbai,Large,4.4,Regular,Aug
57,Salt,Grocery,561,6,Hyderabad,Large,3.9,Regular,May
58,Banana,Fruits,793,5,Bangalore,Small,3.8,Regular,Apr
59,Curd,Dairy,744,5,Bangalore,Medium,4.9,Regular,Apr
60,Carrot,Vegetables,636,2,Lucknow,Large,3.5,Low Fat,Feb
61,Banana,Fruits,739,1,Pune,Large,4.8,Low Fat,Jul
62,Mango,Fruits,856,3,Delhi,Medium,4.9,Regular,Nov
63,Carrot,Vegetables,191,8,Indore,Medium,4.4,Low Fat,Nov
64,Curd,Dairy,737,10,Pune,Medium,4.2,Low Fat,Oct
65,Soap,Personal Care,438,2,Lucknow,Small,3.7,Low Fat,Nov
66,Carrot,Vegetables,157,9,Hyderabad,Medium,3.8,Low Fat,Dec
67,Rice,Grocery,290,2,Mumbai,Small,4.1,Low Fat,Jul
68,Apple,Fruits,702,3,Hyderabad,Medium,5.0,Low Fat,Apr
69,Oil,Grocery,951,4,Lucknow,Large,4.4,Regular,Jun
70,Salt,Grocery,371,10,Indore,Small,4.5,Regular,Dec
71,Sugar,Grocery,995,10,Bhopal,Medium,4.9,Low Fat,Dec
72,Bread,Bakery,585,9,Mumbai,Small,3.7,Regular,Jan
73,Soap,Personal Care,189,10,Bhopal,Large,4.7,Regular,Sep
74,Salt,Grocery,990,8,Mumbai,Large,4.4,Regular,Sep
75,Curd,Dairy,889,6,Bhopal,Large,3.7,Low Fat,Aug
76,Shampoo,Personal Care,490,7,Lucknow,Large,4.1,Regular,Feb
77,Eggs,Protein,502,1,Pune,Large,3.7,Low Fat,Jan
78,Onion,Vegetables,243,2,Mumbai,Small,3.7,Low Fat,Jan
79,Bread,Bakery,702,3,Lucknow,Large,4.7,Low Fat,Feb
80,Apple,Fruits,434,9,Indore,Small,4.2,Low Fat,Aug
81,Tomato,Vegetables,686,6,Chennai,Small,3.7,Low Fat,Mar
82,Biscuits,Bakery,501,2,Pune,Medium,4.7,Regular,Feb
83,Paneer,Dairy,246,9,Delhi,Large,4.0,Regular,Mar
84,Butter,Dairy,127,9,Lucknow,Medium,3.9,Regular,Jan
85,Coffee,Grocery,363,7,Hyderabad,Medium,4.7,Regular,Nov
86,Bread,Bakery,960,10,Mumbai,Large,3.9,Regular,May
87,Biscuits,Bakery,629,2,Delhi,Small,4.4,Regular,Dec
88,Potato,Vegetables,792,2,Indore,Small,3.5,Low Fat,May
89,Juice,Beverages,220,10,Bhopal,Large,4.1,Low Fat,Sep
90,Tea,Grocery,642,8,Chennai,Large,4.3,Low Fat,Aug
91,Tomato,Vegetables,520,2,Jaipur,Small,4.5,Low Fat,Sep
92,Coffee,Grocery,169,3,Bhopal,Large,4.8,Regular,Feb
93,Onion,Vegetables,483,8,Mumbai,Large,3.5,Low Fat,Feb
94,Butter,Dairy,279,4,Bhopal,Medium,4.7,Low Fat,Aug
95,Salt,Grocery,400,6,Indore,Small,4.0,Low Fat,Apr
96,Oil,Grocery,258,9,Hyderabad,Small,4.9,Regular,Nov
97,Carrot,Vegetables,213,6,Indore,Large,3.7,Regular,Sep
98,Soap,Personal Care,496,9,Mumbai,Medium,4.0,Low Fat,Nov
99,Shampoo,Personal Care,238,7,Delhi,Small,4.3,Regular,Mar
100,Soap,Personal Care,92,5,Indore,Small,4.2,Low Fat,Nov
101,Salt,Grocery,489,5,Hyderabad,Large,3.9,Regular,Nov
102,Mango,Fruits,570,5,Lucknow,Large,4.4,Low Fat,Jul
103,Milk,Dairy,383,1,Lucknow,Medium,4.2,Low Fat,Jul
104,Cheese,Dairy,934,6,Pune,Small,4.6,Regular,Jan
105,Biscuits,Bakery,233,7,Lucknow,Large,4.6,Low Fat,Oct
106,Milk,Dairy,230,5,Hyderabad,Small,3.9,Low Fat,Jul
107,Orange,Fruits,376,7,Jaipur,Medium,4.6,Regular,Dec
108,Oil,Grocery,479,5,Delhi,Small,4.0,Regular,Dec
109,Onion,Vegetables,455,9,Lucknow,Small,4.0,Low Fat,Oct
